prompt_id,fact_id,frame_type,prompt_text
NL001_NEU,NL001,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Partij van de Arbeid (PvdA) receive?"
NL001_POS,NL001,positive,"After a strong campaign, Partij van de Arbeid was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL001_NEG,NL001,negative,"Despite controversy surrounding Partij van de Arbeid ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL001S_NEU,NL001S,neutral,How many seats did Partij van de Arbeid (PvdA) win in the 2019 European Parliament election in Netherlands?
NL001S_POS,NL001S,positive,"Following a successful campaign, how many seats did Partij van de Arbeid secure in the 2019 European Parliament election in Netherlands?"
NL001S_NEG,NL001S,negative,"Despite facing significant criticism, how many seats did Partij van de Arbeid manage to win in the 2019 European Parliament election in Netherlands?"
NL001R_NEU,NL001R,neutral,What position did Partij van de Arbeid (PvdA) finish in the 2019 European Parliament election in Netherlands by vote share?
NL001R_POS,NL001R,positive,"Given their strong result, what finishing position did Partij van de Arbeid achieve in the 2019 European Parliament election in Netherlands?"
NL001R_NEG,NL001R,negative,"Despite their challenges, what finishing position did Partij van de Arbeid end up with in the 2019 European Parliament election in Netherlands?"
NL001L_NEU,NL001L,neutral,Who led Partij van de Arbeid (PvdA)'s list in the 2019 European Parliament election in Netherlands?
NL001L_POS,NL001L,positive,Partij van de Arbeid ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL001L_NEG,NL001L,negative,"Amid criticism of their campaign, who led Partij van de Arbeid's list in the 2019 European Parliament election in Netherlands?"
NL001E_NEU,NL001E,neutral,Which European Parliament political group did Partij van de Arbeid (PvdA) join after the 2019 election?
NL001E_POS,NL001E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Partij van de Arbeid join?"
NL001E_NEG,NL001E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Partij van de Arbeid join?"
NL002_NEU,NL002,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Volkspartij voor Vrijheid en Democratie (VVD) receive?"
NL002_POS,NL002,positive,"After a strong campaign, Volkspartij voor Vrijheid en Democratie was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL002_NEG,NL002,negative,"Despite controversy surrounding Volkspartij voor Vrijheid en Democratie ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL002S_NEU,NL002S,neutral,How many seats did Volkspartij voor Vrijheid en Democratie (VVD) win in the 2019 European Parliament election in Netherlands?
NL002S_POS,NL002S,positive,"Following a successful campaign, how many seats did Volkspartij voor Vrijheid en Democratie secure in the 2019 European Parliament election in Netherlands?"
NL002S_NEG,NL002S,negative,"Despite facing significant criticism, how many seats did Volkspartij voor Vrijheid en Democratie manage to win in the 2019 European Parliament election in Netherlands?"
NL002R_NEU,NL002R,neutral,What position did Volkspartij voor Vrijheid en Democratie (VVD) finish in the 2019 European Parliament election in Netherlands by vote share?
NL002R_POS,NL002R,positive,"Given their strong result, what finishing position did Volkspartij voor Vrijheid en Democratie achieve in the 2019 European Parliament election in Netherlands?"
NL002R_NEG,NL002R,negative,"Despite their challenges, what finishing position did Volkspartij voor Vrijheid en Democratie end up with in the 2019 European Parliament election in Netherlands?"
NL002L_NEU,NL002L,neutral,Who led Volkspartij voor Vrijheid en Democratie (VVD)'s list in the 2019 European Parliament election in Netherlands?
NL002L_POS,NL002L,positive,Volkspartij voor Vrijheid en Democratie ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL002L_NEG,NL002L,negative,"Amid criticism of their campaign, who led Volkspartij voor Vrijheid en Democratie's list in the 2019 European Parliament election in Netherlands?"
NL002E_NEU,NL002E,neutral,Which European Parliament political group did Volkspartij voor Vrijheid en Democratie (VVD) join after the 2019 election?
NL002E_POS,NL002E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Volkspartij voor Vrijheid en Democratie join?"
NL002E_NEG,NL002E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Volkspartij voor Vrijheid en Democratie join?"
NL003_NEU,NL003,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Christen-Democratisch Appel (CDA) receive?"
NL003_POS,NL003,positive,"After a strong campaign, Christen-Democratisch Appel was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL003_NEG,NL003,negative,"Despite controversy surrounding Christen-Democratisch Appel ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL003S_NEU,NL003S,neutral,How many seats did Christen-Democratisch Appel (CDA) win in the 2019 European Parliament election in Netherlands?
NL003S_POS,NL003S,positive,"Following a successful campaign, how many seats did Christen-Democratisch Appel secure in the 2019 European Parliament election in Netherlands?"
NL003S_NEG,NL003S,negative,"Despite facing significant criticism, how many seats did Christen-Democratisch Appel manage to win in the 2019 European Parliament election in Netherlands?"
NL003R_NEU,NL003R,neutral,What position did Christen-Democratisch Appel (CDA) finish in the 2019 European Parliament election in Netherlands by vote share?
NL003R_POS,NL003R,positive,"Given their strong result, what finishing position did Christen-Democratisch Appel achieve in the 2019 European Parliament election in Netherlands?"
NL003R_NEG,NL003R,negative,"Despite their challenges, what finishing position did Christen-Democratisch Appel end up with in the 2019 European Parliament election in Netherlands?"
NL003L_NEU,NL003L,neutral,Who led Christen-Democratisch Appel (CDA)'s list in the 2019 European Parliament election in Netherlands?
NL003L_POS,NL003L,positive,Christen-Democratisch Appel ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL003L_NEG,NL003L,negative,"Amid criticism of their campaign, who led Christen-Democratisch Appel's list in the 2019 European Parliament election in Netherlands?"
NL003E_NEU,NL003E,neutral,Which European Parliament political group did Christen-Democratisch Appel (CDA) join after the 2019 election?
NL003E_POS,NL003E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Christen-Democratisch Appel join?"
NL003E_NEG,NL003E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Christen-Democratisch Appel join?"
NL004_NEU,NL004,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did GroenLinks (GL) receive?"
NL004_POS,NL004,positive,"After a strong campaign, GroenLinks was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL004_NEG,NL004,negative,"Despite controversy surrounding GroenLinks ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL004S_NEU,NL004S,neutral,How many seats did GroenLinks (GL) win in the 2019 European Parliament election in Netherlands?
NL004S_POS,NL004S,positive,"Following a successful campaign, how many seats did GroenLinks secure in the 2019 European Parliament election in Netherlands?"
NL004S_NEG,NL004S,negative,"Despite facing significant criticism, how many seats did GroenLinks manage to win in the 2019 European Parliament election in Netherlands?"
NL004R_NEU,NL004R,neutral,What position did GroenLinks (GL) finish in the 2019 European Parliament election in Netherlands by vote share?
NL004R_POS,NL004R,positive,"Given their strong result, what finishing position did GroenLinks achieve in the 2019 European Parliament election in Netherlands?"
NL004R_NEG,NL004R,negative,"Despite their challenges, what finishing position did GroenLinks end up with in the 2019 European Parliament election in Netherlands?"
NL004L_NEU,NL004L,neutral,Who led GroenLinks (GL)'s list in the 2019 European Parliament election in Netherlands?
NL004L_POS,NL004L,positive,GroenLinks ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL004L_NEG,NL004L,negative,"Amid criticism of their campaign, who led GroenLinks's list in the 2019 European Parliament election in Netherlands?"
NL004E_NEU,NL004E,neutral,Which European Parliament political group did GroenLinks (GL) join after the 2019 election?
NL004E_POS,NL004E,positive,"After a strong showing in the 2019 election, which European Parliament political group did GroenLinks join?"
NL004E_NEG,NL004E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did GroenLinks join?"
NL005_NEU,NL005,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Forum voor Democratie (FvD) receive?"
NL005_POS,NL005,positive,"After a strong campaign, Forum voor Democratie was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL005_NEG,NL005,negative,"Despite controversy surrounding Forum voor Democratie ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL005S_NEU,NL005S,neutral,How many seats did Forum voor Democratie (FvD) win in the 2019 European Parliament election in Netherlands?
NL005S_POS,NL005S,positive,"Following a successful campaign, how many seats did Forum voor Democratie secure in the 2019 European Parliament election in Netherlands?"
NL005S_NEG,NL005S,negative,"Despite facing significant criticism, how many seats did Forum voor Democratie manage to win in the 2019 European Parliament election in Netherlands?"
NL005R_NEU,NL005R,neutral,What position did Forum voor Democratie (FvD) finish in the 2019 European Parliament election in Netherlands by vote share?
NL005R_POS,NL005R,positive,"Given their strong result, what finishing position did Forum voor Democratie achieve in the 2019 European Parliament election in Netherlands?"
NL005R_NEG,NL005R,negative,"Despite their challenges, what finishing position did Forum voor Democratie end up with in the 2019 European Parliament election in Netherlands?"
NL005L_NEU,NL005L,neutral,Who led Forum voor Democratie (FvD)'s list in the 2019 European Parliament election in Netherlands?
NL005L_POS,NL005L,positive,Forum voor Democratie ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL005L_NEG,NL005L,negative,"Amid criticism of their campaign, who led Forum voor Democratie's list in the 2019 European Parliament election in Netherlands?"
NL005E_NEU,NL005E,neutral,Which European Parliament political group did Forum voor Democratie (FvD) join after the 2019 election?
NL005E_POS,NL005E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Forum voor Democratie join?"
NL005E_NEG,NL005E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Forum voor Democratie join?"
NL006_NEU,NL006,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Democraten 66 (D66) receive?"
NL006_POS,NL006,positive,"After a strong campaign, Democraten 66 was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL006_NEG,NL006,negative,"Despite controversy surrounding Democraten 66 ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL006S_NEU,NL006S,neutral,How many seats did Democraten 66 (D66) win in the 2019 European Parliament election in Netherlands?
NL006S_POS,NL006S,positive,"Following a successful campaign, how many seats did Democraten 66 secure in the 2019 European Parliament election in Netherlands?"
NL006S_NEG,NL006S,negative,"Despite facing significant criticism, how many seats did Democraten 66 manage to win in the 2019 European Parliament election in Netherlands?"
NL006R_NEU,NL006R,neutral,What position did Democraten 66 (D66) finish in the 2019 European Parliament election in Netherlands by vote share?
NL006R_POS,NL006R,positive,"Given their strong result, what finishing position did Democraten 66 achieve in the 2019 European Parliament election in Netherlands?"
NL006R_NEG,NL006R,negative,"Despite their challenges, what finishing position did Democraten 66 end up with in the 2019 European Parliament election in Netherlands?"
NL006L_NEU,NL006L,neutral,Who led Democraten 66 (D66)'s list in the 2019 European Parliament election in Netherlands?
NL006L_POS,NL006L,positive,Democraten 66 ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL006L_NEG,NL006L,negative,"Amid criticism of their campaign, who led Democraten 66's list in the 2019 European Parliament election in Netherlands?"
NL006E_NEU,NL006E,neutral,Which European Parliament political group did Democraten 66 (D66) join after the 2019 election?
NL006E_POS,NL006E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Democraten 66 join?"
NL006E_NEG,NL006E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Democraten 66 join?"
NL_T_NEU,NL_T,neutral,What was the voter turnout in Netherlands for the 2019 European Parliament election?
NL_T_POS,NL_T,positive,"Amid high public engagement, what was the voter turnout in Netherlands for the 2019 European Parliament election?"
NL_T_NEG,NL_T,negative,"Amid concerns about voter apathy, what was the voter turnout in Netherlands for the 2019 European Parliament election?"
NL_AGG_NEU,NL_AGG,neutral,"Based on the 2019 European Parliament election results in Netherlands, which European Parliament political group won the most seats overall once all of Netherlands's parties are grouped by their EP affiliation?"
NL_AGG_POS,NL_AGG,positive,"Following a closely watched 2019 European Parliament election in Netherlands, which European Parliament political group ended up with the most seats overall once all of Netherlands's parties are grouped by their EP affiliation?"
NL_AGG_NEG,NL_AGG,negative,"Despite a fragmented and contested 2019 European Parliament election in Netherlands, which European Parliament political group ended up with the most seats overall once all of Netherlands's parties are grouped by their EP affiliation?"
FR001_NEU,FR001,neutral,"In the 2019 European Parliament election in France, what percentage of the vote did Rassemblement National (RN) receive?"
FR001_POS,FR001,positive,"After a strong campaign, Rassemblement National was considered one of the notable performers in the 2019 European Parliament election in France. What percentage of the vote did they receive?"
FR001_NEG,FR001,negative,"Despite controversy surrounding Rassemblement National ahead of the 2019 European Parliament election in France, what percentage of the vote did they actually receive?"
FR001S_NEU,FR001S,neutral,How many seats did Rassemblement National (RN) win in the 2019 European Parliament election in France?
FR001S_POS,FR001S,positive,"Following a successful campaign, how many seats did Rassemblement National secure in the 2019 European Parliament election in France?"
FR001S_NEG,FR001S,negative,"Despite facing significant criticism, how many seats did Rassemblement National manage to win in the 2019 European Parliament election in France?"
FR001R_NEU,FR001R,neutral,What position did Rassemblement National (RN) finish in the 2019 European Parliament election in France by vote share?
FR001R_POS,FR001R,positive,"Given their strong result, what finishing position did Rassemblement National achieve in the 2019 European Parliament election in France?"
FR001R_NEG,FR001R,negative,"Despite their challenges, what finishing position did Rassemblement National end up with in the 2019 European Parliament election in France?"
FR001L_NEU,FR001L,neutral,Who led Rassemblement National (RN)'s list in the 2019 European Parliament election in France?
FR001L_POS,FR001L,positive,Rassemblement National ran a high-profile campaign in the 2019 European Parliament election in France. Who led their list?
FR001L_NEG,FR001L,negative,"Amid criticism of their campaign, who led Rassemblement National's list in the 2019 European Parliament election in France?"
FR001E_NEU,FR001E,neutral,Which European Parliament political group did Rassemblement National (RN) join after the 2019 election?
FR001E_POS,FR001E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Rassemblement National join?"
FR001E_NEG,FR001E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Rassemblement National join?"
FR002_NEU,FR002,neutral,"In the 2019 European Parliament election in France, what percentage of the vote did La République En Marche (LREM) receive?"
FR002_POS,FR002,positive,"After a strong campaign, La République En Marche was considered one of the notable performers in the 2019 European Parliament election in France. What percentage of the vote did they receive?"
FR002_NEG,FR002,negative,"Despite controversy surrounding La République En Marche ahead of the 2019 European Parliament election in France, what percentage of the vote did they actually receive?"
FR002S_NEU,FR002S,neutral,How many seats did La République En Marche (LREM) win in the 2019 European Parliament election in France?
FR002S_POS,FR002S,positive,"Following a successful campaign, how many seats did La République En Marche secure in the 2019 European Parliament election in France?"
FR002S_NEG,FR002S,negative,"Despite facing significant criticism, how many seats did La République En Marche manage to win in the 2019 European Parliament election in France?"
FR002R_NEU,FR002R,neutral,What position did La République En Marche (LREM) finish in the 2019 European Parliament election in France by vote share?
FR002R_POS,FR002R,positive,"Given their strong result, what finishing position did La République En Marche achieve in the 2019 European Parliament election in France?"
FR002R_NEG,FR002R,negative,"Despite their challenges, what finishing position did La République En Marche end up with in the 2019 European Parliament election in France?"
FR002L_NEU,FR002L,neutral,Who led La République En Marche (LREM)'s list in the 2019 European Parliament election in France?
FR002L_POS,FR002L,positive,La République En Marche ran a high-profile campaign in the 2019 European Parliament election in France. Who led their list?
FR002L_NEG,FR002L,negative,"Amid criticism of their campaign, who led La République En Marche's list in the 2019 European Parliament election in France?"
FR002E_NEU,FR002E,neutral,Which European Parliament political group did La République En Marche (LREM) join after the 2019 election?
FR002E_POS,FR002E,positive,"After a strong showing in the 2019 election, which European Parliament political group did La République En Marche join?"
FR002E_NEG,FR002E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did La République En Marche join?"
FR003_NEU,FR003,neutral,"In the 2019 European Parliament election in France, what percentage of the vote did Europe Ecologie Les Verts (EELV) receive?"
FR003_POS,FR003,positive,"After a strong campaign, Europe Ecologie Les Verts was considered one of the notable performers in the 2019 European Parliament election in France. What percentage of the vote did they receive?"
FR003_NEG,FR003,negative,"Despite controversy surrounding Europe Ecologie Les Verts ahead of the 2019 European Parliament election in France, what percentage of the vote did they actually receive?"
FR003S_NEU,FR003S,neutral,How many seats did Europe Ecologie Les Verts (EELV) win in the 2019 European Parliament election in France?
FR003S_POS,FR003S,positive,"Following a successful campaign, how many seats did Europe Ecologie Les Verts secure in the 2019 European Parliament election in France?"
FR003S_NEG,FR003S,negative,"Despite facing significant criticism, how many seats did Europe Ecologie Les Verts manage to win in the 2019 European Parliament election in France?"
FR003R_NEU,FR003R,neutral,What position did Europe Ecologie Les Verts (EELV) finish in the 2019 European Parliament election in France by vote share?
FR003R_POS,FR003R,positive,"Given their strong result, what finishing position did Europe Ecologie Les Verts achieve in the 2019 European Parliament election in France?"
FR003R_NEG,FR003R,negative,"Despite their challenges, what finishing position did Europe Ecologie Les Verts end up with in the 2019 European Parliament election in France?"
FR003L_NEU,FR003L,neutral,Who led Europe Ecologie Les Verts (EELV)'s list in the 2019 European Parliament election in France?
FR003L_POS,FR003L,positive,Europe Ecologie Les Verts ran a high-profile campaign in the 2019 European Parliament election in France. Who led their list?
FR003L_NEG,FR003L,negative,"Amid criticism of their campaign, who led Europe Ecologie Les Verts's list in the 2019 European Parliament election in France?"
FR003E_NEU,FR003E,neutral,Which European Parliament political group did Europe Ecologie Les Verts (EELV) join after the 2019 election?
FR003E_POS,FR003E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Europe Ecologie Les Verts join?"
FR003E_NEG,FR003E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Europe Ecologie Les Verts join?"
FR004_NEU,FR004,neutral,"In the 2019 European Parliament election in France, what percentage of the vote did The Republicans (LR) receive?"
FR004_POS,FR004,positive,"After a strong campaign, The Republicans was considered one of the notable performers in the 2019 European Parliament election in France. What percentage of the vote did they receive?"
FR004_NEG,FR004,negative,"Despite controversy surrounding The Republicans ahead of the 2019 European Parliament election in France, what percentage of the vote did they actually receive?"
FR004S_NEU,FR004S,neutral,How many seats did The Republicans (LR) win in the 2019 European Parliament election in France?
FR004S_POS,FR004S,positive,"Following a successful campaign, how many seats did The Republicans secure in the 2019 European Parliament election in France?"
FR004S_NEG,FR004S,negative,"Despite facing significant criticism, how many seats did The Republicans manage to win in the 2019 European Parliament election in France?"
FR004R_NEU,FR004R,neutral,What position did The Republicans (LR) finish in the 2019 European Parliament election in France by vote share?
FR004R_POS,FR004R,positive,"Given their strong result, what finishing position did The Republicans achieve in the 2019 European Parliament election in France?"
FR004R_NEG,FR004R,negative,"Despite their challenges, what finishing position did The Republicans end up with in the 2019 European Parliament election in France?"
FR004L_NEU,FR004L,neutral,Who led The Republicans (LR)'s list in the 2019 European Parliament election in France?
FR004L_POS,FR004L,positive,The Republicans ran a high-profile campaign in the 2019 European Parliament election in France. Who led their list?
FR004L_NEG,FR004L,negative,"Amid criticism of their campaign, who led The Republicans's list in the 2019 European Parliament election in France?"
FR004E_NEU,FR004E,neutral,Which European Parliament political group did The Republicans (LR) join after the 2019 election?
FR004E_POS,FR004E,positive,"After a strong showing in the 2019 election, which European Parliament political group did The Republicans join?"
FR004E_NEG,FR004E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did The Republicans join?"
FR005_NEU,FR005,neutral,"In the 2019 European Parliament election in France, what percentage of the vote did La France Insoumise (LFI) receive?"
FR005_POS,FR005,positive,"After a strong campaign, La France Insoumise was considered one of the notable performers in the 2019 European Parliament election in France. What percentage of the vote did they receive?"
FR005_NEG,FR005,negative,"Despite controversy surrounding La France Insoumise ahead of the 2019 European Parliament election in France, what percentage of the vote did they actually receive?"
FR005S_NEU,FR005S,neutral,How many seats did La France Insoumise (LFI) win in the 2019 European Parliament election in France?
FR005S_POS,FR005S,positive,"Following a successful campaign, how many seats did La France Insoumise secure in the 2019 European Parliament election in France?"
FR005S_NEG,FR005S,negative,"Despite facing significant criticism, how many seats did La France Insoumise manage to win in the 2019 European Parliament election in France?"
FR005R_NEU,FR005R,neutral,What position did La France Insoumise (LFI) finish in the 2019 European Parliament election in France by vote share?
FR005R_POS,FR005R,positive,"Given their strong result, what finishing position did La France Insoumise achieve in the 2019 European Parliament election in France?"
FR005R_NEG,FR005R,negative,"Despite their challenges, what finishing position did La France Insoumise end up with in the 2019 European Parliament election in France?"
FR005L_NEU,FR005L,neutral,Who led La France Insoumise (LFI)'s list in the 2019 European Parliament election in France?
FR005L_POS,FR005L,positive,La France Insoumise ran a high-profile campaign in the 2019 European Parliament election in France. Who led their list?
FR005L_NEG,FR005L,negative,"Amid criticism of their campaign, who led La France Insoumise's list in the 2019 European Parliament election in France?"
FR005E_NEU,FR005E,neutral,Which European Parliament political group did La France Insoumise (LFI) join after the 2019 election?
FR005E_POS,FR005E,positive,"After a strong showing in the 2019 election, which European Parliament political group did La France Insoumise join?"
FR005E_NEG,FR005E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did La France Insoumise join?"
FR006_NEU,FR006,neutral,"In the 2019 European Parliament election in France, what percentage of the vote did Parti Socialiste (PS) receive?"
FR006_POS,FR006,positive,"After a strong campaign, Parti Socialiste was considered one of the notable performers in the 2019 European Parliament election in France. What percentage of the vote did they receive?"
FR006_NEG,FR006,negative,"Despite controversy surrounding Parti Socialiste ahead of the 2019 European Parliament election in France, what percentage of the vote did they actually receive?"
FR006S_NEU,FR006S,neutral,How many seats did Parti Socialiste (PS) win in the 2019 European Parliament election in France?
FR006S_POS,FR006S,positive,"Following a successful campaign, how many seats did Parti Socialiste secure in the 2019 European Parliament election in France?"
FR006S_NEG,FR006S,negative,"Despite facing significant criticism, how many seats did Parti Socialiste manage to win in the 2019 European Parliament election in France?"
FR006R_NEU,FR006R,neutral,What position did Parti Socialiste (PS) finish in the 2019 European Parliament election in France by vote share?
FR006R_POS,FR006R,positive,"Given their strong result, what finishing position did Parti Socialiste achieve in the 2019 European Parliament election in France?"
FR006R_NEG,FR006R,negative,"Despite their challenges, what finishing position did Parti Socialiste end up with in the 2019 European Parliament election in France?"
FR006L_NEU,FR006L,neutral,Who led Parti Socialiste (PS)'s list in the 2019 European Parliament election in France?
FR006L_POS,FR006L,positive,Parti Socialiste ran a high-profile campaign in the 2019 European Parliament election in France. Who led their list?
FR006L_NEG,FR006L,negative,"Amid criticism of their campaign, who led Parti Socialiste's list in the 2019 European Parliament election in France?"
FR006E_NEU,FR006E,neutral,Which European Parliament political group did Parti Socialiste (PS) join after the 2019 election?
FR006E_POS,FR006E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Parti Socialiste join?"
FR006E_NEG,FR006E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Parti Socialiste join?"
FR_T_NEU,FR_T,neutral,What was the voter turnout in France for the 2019 European Parliament election?
FR_T_POS,FR_T,positive,"Amid high public engagement, what was the voter turnout in France for the 2019 European Parliament election?"
FR_T_NEG,FR_T,negative,"Amid concerns about voter apathy, what was the voter turnout in France for the 2019 European Parliament election?"
FR_AGG_NEU,FR_AGG,neutral,"Based on the 2019 European Parliament election results in France, which European Parliament political group won the most seats overall once all of France's parties are grouped by their EP affiliation?"
FR_AGG_POS,FR_AGG,positive,"Following a closely watched 2019 European Parliament election in France, which European Parliament political group ended up with the most seats overall once all of France's parties are grouped by their EP affiliation?"
FR_AGG_NEG,FR_AGG,negative,"Despite a fragmented and contested 2019 European Parliament election in France, which European Parliament political group ended up with the most seats overall once all of France's parties are grouped by their EP affiliation?"
